id,name,created_at,updated_at
1,FRANCISCO GONZALEZ,2025-08-13 17:14:23,2025-08-13 17:14:23
2,COMERC.RF SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
3,EXP.RM SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
4,PROPAL S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
5,CALBU SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
6,RONALD CASTILLO,2025-08-13 17:14:23,2025-08-13 17:14:23
7,EXP.SUBSOLE,2025-08-13 17:14:23,2025-08-13 17:14:23
8,ATLAS FRESH SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
9,LOS ORGONES SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
10,AGRICOLA BCM SP,2025-08-13 17:14:23,2025-08-13 17:14:23
11,AGRICOLA GVT SP,2025-08-13 17:14:23,2025-08-13 17:14:23
12,GIDDINGS BERRIES CHI,2025-08-13 17:14:23,2025-08-13 17:14:23
13,HORTIFRUT CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
14,MONDASOL LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
15,FRUTEXSA,2025-08-13 17:14:23,2025-08-13 17:14:23
16,REINA SUR SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
17,S&A CHILE S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
18,FRUSAN S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
19,EXP.SAN CLEMENTE S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
20,SAN ALBERTO S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
21,FRUTAM LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
22,UNIFRUTTI SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
23,DOLE-CHILE S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
24,TOTAL FRUIT COM,2025-08-13 17:14:23,2025-08-13 17:14:23
25,BAIKA S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
26,AGRICOM SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
27,INVERSIONES HEH,2025-08-13 17:14:23,2025-08-13 17:14:23
28,EASTER ISLAND,2025-08-13 17:14:23,2025-08-13 17:14:23
29,RAFAGRO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
30,SRA MANZANA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
31,SOC.EXP.LA PAZ,2025-08-13 17:14:23,2025-08-13 17:14:23
32,PACIFIC NUT S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
33,EXP.FRUGAL S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
34,PURA VIDA LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
35,MIPAL JORGE ROJ,2025-08-13 17:14:23,2025-08-13 17:14:23
36,EL PARQUE LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
37,EXP.SKIFRUIT SP,2025-08-13 17:14:23,2025-08-13 17:14:23
38,SOL D MAULE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
39,ZURGROUP S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
40,PRIZE S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
41,NORFRUT CHILE L,2025-08-13 17:14:23,2025-08-13 17:14:23
42,CHILE TERRA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
43,ALFABERRIES LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
44,INV.AGROBERRIES,2025-08-13 17:14:23,2025-08-13 17:14:23
45,EMPRESA AGR.HCL TDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
46,LAFRUT LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
47,ELIZABETH GONZALEZ,2025-08-13 17:14:23,2025-08-13 17:14:23
48,PATRONUM SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
49,EL REFUGIO,2025-08-13 17:14:23,2025-08-13 17:14:23
50,IVAN A.ABRIGO,2025-08-13 17:14:23,2025-08-13 17:14:23
51,COM.PROVEFRUT S,2025-08-13 17:14:23,2025-08-13 17:14:23
52,LO GARCES LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
53,EXP.RM LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
54,CRISANTI EXP.SP,2025-08-13 17:14:23,2025-08-13 17:14:23
55,AGROTUNCAHUE LT,2025-08-13 17:14:23,2025-08-13 17:14:23
56,VERONICA ALTAMIR,2025-08-13 17:14:23,2025-08-13 17:14:23
57,FRUFRESH SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
58,GREENVIC SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
59,ANDES SECRET SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
60,EXP.SANTA CRUZ,2025-08-13 17:14:23,2025-08-13 17:14:23
61,AG.LA CAMPANA,2025-08-13 17:14:23,2025-08-13 17:14:23
62,ANDES HARVES FO,2025-08-13 17:14:23,2025-08-13 17:14:23
63,EXP.ALNUEZ S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
64,LA ROSA SOFRUCO,2025-08-13 17:14:23,2025-08-13 17:14:23
65,CABILFRUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
66,ECOTERRA EXPORT,2025-08-13 17:14:23,2025-08-13 17:14:23
67,CIA CHILENA FRU,2025-08-13 17:14:23,2025-08-13 17:14:23
68,MEYER LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
69,EXP.ANAKENA,2025-08-13 17:14:23,2025-08-13 17:14:23
70,EXP.LABERINTO,2025-08-13 17:14:23,2025-08-13 17:14:23
71,LITORAL TRADE,2025-08-13 17:14:23,2025-08-13 17:14:23
72,CRISPA GOLD S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
73,HUERT.DEL VALLE,2025-08-13 17:14:23,2025-08-13 17:14:23
74,GROWEX S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
75,SMARTNUTS SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
76,SNACKBERRIES SP,2025-08-13 17:14:23,2025-08-13 17:14:23
77,JUAN GUTIERREZ LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
78,SOC.C & L FRUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
79,RED AND BLUE B,2025-08-13 17:14:23,2025-08-13 17:14:23
80,ROSALES S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
81,AGR.CERES LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
82,AGRICHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
83,COPEFRUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
84,ALMEVAL S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
85,LA INVERNADA EX,2025-08-13 17:14:23,2025-08-13 17:14:23
86,DOSAL HNOS.,2025-08-13 17:14:23,2025-08-13 17:14:23
87,NUECES DEL SUR,2025-08-13 17:14:23,2025-08-13 17:14:23
88,LA MONTAÑA LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
89,VALBIFRUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
90,NICOFRUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
91,GRAVO S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
92,TYT EXPORT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
93,EXP.ERFRUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
94,ANDINEXIA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
95,AGROROFF SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
96,TGS CHILE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
97,PARMEX S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
98,FRUNUT S P A,2025-08-13 17:14:23,2025-08-13 17:14:23
99,AGRISOUTHESTATE,2025-08-13 17:14:23,2025-08-13 17:14:23
100,GREENEX SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
101,EXP.VALVALLE LT,2025-08-13 17:14:23,2025-08-13 17:14:23
102,EXP.QUELEN SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
103,MELIFEN LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
104,VITAKAI S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
105,CHERRY TRADERS,2025-08-13 17:14:23,2025-08-13 17:14:23
106,J.SCHMIDT EXPOR,2025-08-13 17:14:23,2025-08-13 17:14:23
107,CALAFATE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
108,EXP.RIO KING,2025-08-13 17:14:23,2025-08-13 17:14:23
109,EL ESPINO LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
110,GESEX S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
111,BOTANICA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
112,PACIFIC TANGO S,2025-08-13 17:14:23,2025-08-13 17:14:23
113,MAITENAL LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
114,LA QUIROGA LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
115,FERNANDEZROMERO,2025-08-13 17:14:23,2025-08-13 17:14:23
116,A5 EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
117,BF COMERCIO EXP,2025-08-13 17:14:23,2025-08-13 17:14:23
118,BALLERINA CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
119,EL CANELILLO S.,2025-08-13 17:14:23,2025-08-13 17:14:23
120,GLS EXPORTS LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
121,EXPO HMC,2025-08-13 17:14:23,2025-08-13 17:14:23
122,NUECES DEL CHOA,2025-08-13 17:14:23,2025-08-13 17:14:23
123,FRUTA AUSTRAL,2025-08-13 17:14:23,2025-08-13 17:14:23
124,SAN OSVALDO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
125,SANTA ELENA S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
126,CERRO EL PLOMO,2025-08-13 17:14:23,2025-08-13 17:14:23
127,AGROFACTOR,2025-08-13 17:14:23,2025-08-13 17:14:23
128,MAHUIDA NUTS S.,2025-08-13 17:14:23,2025-08-13 17:14:23
129,SIGALFRUTTS LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
130,PARTNERS FRUIT,2025-08-13 17:14:23,2025-08-13 17:14:23
131,ONIZZO EXPORT.,2025-08-13 17:14:23,2025-08-13 17:14:23
132,YAGUELMAPU EXP.,2025-08-13 17:14:23,2025-08-13 17:14:23
133,TOPFRUT NUTS LT,2025-08-13 17:14:23,2025-08-13 17:14:23
134,MAGNA TRADING S,2025-08-13 17:14:23,2025-08-13 17:14:23
135,FIUME S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
136,LAND GROWERS,2025-08-13 17:14:23,2025-08-13 17:14:23
137,TRIPLE ALIANZA,2025-08-13 17:14:23,2025-08-13 17:14:23
138,ATP EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
139,THOMSEN CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
140,FRUTAS VYM LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
141,AGRIC.SEMINARIO,2025-08-13 17:14:23,2025-08-13 17:14:23
142,LAHUAL SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
143,GALLARDO JORGE,2025-08-13 17:14:23,2025-08-13 17:14:23
144,SUPERFRUIT LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
145,OCOA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
146,OPPENHEIMER,2025-08-13 17:14:23,2025-08-13 17:14:23
147,SUR TRADE,2025-08-13 17:14:23,2025-08-13 17:14:23
148,BUINEX SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
149,DELICIAS LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
150,SOLEFRUTTI SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
151,POLAR FRUIT INT,2025-08-13 17:14:23,2025-08-13 17:14:23
152,SURNUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
153,FRUKA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
154,AGRIC.MONTOLIN,2025-08-13 17:14:23,2025-08-13 17:14:23
155,SOUTH 365 SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
156,EXP.FMS SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
157,CERR.DE TAMAYA,2025-08-13 17:14:23,2025-08-13 17:14:23
158,AUSTRAL EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
159,EXSER LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
160,NEW WORLD CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
161,GROWER CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
162,EXP.VELEZ Y CIA,2025-08-13 17:14:23,2025-08-13 17:14:23
163,EXPOCUMBRES LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
164,INDUFRUT INTERN,2025-08-13 17:14:23,2025-08-13 17:14:23
165,CONDE Y DIAZ LT,2025-08-13 17:14:23,2025-08-13 17:14:23
166,ACOGRAPES LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
167,FRUTERA INT.SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
168,AGRIFRUT COM.LT,2025-08-13 17:14:23,2025-08-13 17:14:23
169,SHB EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
170,SEMIZA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
171,AGROCOMMERCE,2025-08-13 17:14:23,2025-08-13 17:14:23
172,ATACAMA NUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
173,SAN JUAN LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
174,SUR CONTINENTE,2025-08-13 17:14:23,2025-08-13 17:14:23
175,TROPICAL FRUITS,2025-08-13 17:14:23,2025-08-13 17:14:23
176,F Y F LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
177,AGRIC.ROSARIO,2025-08-13 17:14:23,2025-08-13 17:14:23
178,ROBINSON FRESH CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
179,AGR.LA CRUZ LT.,2025-08-13 17:14:23,2025-08-13 17:14:23
180,RED APPLES CHIL,2025-08-13 17:14:23,2025-08-13 17:14:23
181,SOC.PACKING,2025-08-13 17:14:23,2025-08-13 17:14:23
182,COM.BRIGOFRUT S,2025-08-13 17:14:23,2025-08-13 17:14:23
183,CURRY FRUIT CHI,2025-08-13 17:14:23,2025-08-13 17:14:23
184,ESPEJO FRUITS S,2025-08-13 17:14:23,2025-08-13 17:14:23
185,LAS MERCEDES LT,2025-08-13 17:14:23,2025-08-13 17:14:23
186,CONDESA CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
187,POLCURA EXP.S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
188,SUMMIT FRUITS,2025-08-13 17:14:23,2025-08-13 17:14:23
189,SOFRUCO ALIMENT,2025-08-13 17:14:23,2025-08-13 17:14:23
190,FRUT.AGROSAN EX,2025-08-13 17:14:23,2025-08-13 17:14:23
191,AGROIND.LAS 3R,2025-08-13 17:14:23,2025-08-13 17:14:23
192,VALLE CACHAPOAL,2025-08-13 17:14:23,2025-08-13 17:14:23
193,TERRA NUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
194,THOMAS FRESH SP,2025-08-13 17:14:23,2025-08-13 17:14:23
195,DEL MONTE FRESH,2025-08-13 17:14:23,2025-08-13 17:14:23
196,COM.AMELIAEXPOR,2025-08-13 17:14:23,2025-08-13 17:14:23
197,PRIZE NUTS SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
198,EXP.CITRIPAL LT,2025-08-13 17:14:23,2025-08-13 17:14:23
199,EXP.LABE LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
200,CURIEXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
201,FARD ROAD S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
202,AGROPANQUEHUE L,2025-08-13 17:14:23,2025-08-13 17:14:23
203,EL CAMINO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
204,LA RINCONADA SP,2025-08-13 17:14:23,2025-08-13 17:14:23
205,JAIMEGARCIACIF,2025-08-13 17:14:23,2025-08-13 17:14:23
206,EXP.TOP 10 SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
207,CHISA S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
208,VERFRUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
209,CABEXPORT LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
210,CHILFRESH LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
211,RIO BLANCO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
212,SM EXPORT LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
213,EXP.LOS LIRIOS,2025-08-13 17:14:23,2025-08-13 17:14:23
214,ENTRE ANDES LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
215,OLIVAR EXPORT S,2025-08-13 17:14:23,2025-08-13 17:14:23
216,DAVID DEL CURTO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
217,SOF SOUTH ORGAN,2025-08-13 17:14:23,2025-08-13 17:14:23
218,COLLIP RED SOIL,2025-08-13 17:14:23,2025-08-13 17:14:23
219,PATAGONIA FRUIT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
220,EXP.MONTANO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
221,MARTA GONZALEZ,2025-08-13 17:14:23,2025-08-13 17:14:23
222,COMERC.MAXIFRUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
223,AGRICAMEX,2025-08-13 17:14:23,2025-08-13 17:14:23
224,HECTORSEPULVEDA,2025-08-13 17:14:23,2025-08-13 17:14:23
225,SOC.AGRIC.DON HERNAN,2025-08-13 17:14:23,2025-08-13 17:14:23
226,FIB EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
227,DISFRUTA S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
228,GRUPO METRO S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
229,CHILEFOOD AGROC,2025-08-13 17:14:23,2025-08-13 17:14:23
230,FRUMERC S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
231,CAPE FIVE CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
232,EL TORREON LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
233,SUN HARVEST S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
234,TRIOFRUT LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
235,RUCARAY S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
236,TUNICHE FRUITS,2025-08-13 17:14:23,2025-08-13 17:14:23
237,GEOFRUT LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
238,COSECHA FRUIT S,2025-08-13 17:14:23,2025-08-13 17:14:23
239,EXPORT.QUINTAY,2025-08-13 17:14:23,2025-08-13 17:14:23
240,COM.DE FRUTOS L,2025-08-13 17:14:23,2025-08-13 17:14:23
241,ITAHUE LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
242,DIAGUITA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
243,EXP.RENGO S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
244,COBOL S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
245,XFRU CINCO LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
246,AGROFRUTA EXP.,2025-08-13 17:14:23,2025-08-13 17:14:23
247,EXP.ATUNGUAYCO,2025-08-13 17:14:23,2025-08-13 17:14:23
248,FRUTAS OESTE SP,2025-08-13 17:14:23,2025-08-13 17:14:23
249,FERN.DEBESA ALD,2025-08-13 17:14:23,2025-08-13 17:14:23
250,DELIPACK SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
251,EXP.FRUTASOL CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
252,EXP.AGROPACAL,2025-08-13 17:14:23,2025-08-13 17:14:23
253,S.A.C.CARVAJAL,2025-08-13 17:14:23,2025-08-13 17:14:23
254,EL CISNE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
255,EXP.SAN RAFAEL,2025-08-13 17:14:23,2025-08-13 17:14:23
256,EXP.RIO MAIPO S,2025-08-13 17:14:23,2025-08-13 17:14:23
257,EXP.GONZAGRI SA,2025-08-13 17:14:23,2025-08-13 17:14:23
258,ANDES FOODS SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
259,CURICO LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
260,AGRIC.LA HIGUERA LT,2025-08-13 17:14:23,2025-08-13 17:14:23
261,EXP.DEREX SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
262,FLOR MARIA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
263,SAN LORENZO LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
264,AGROEX CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
265,CHILEAN MARRONI,2025-08-13 17:14:23,2025-08-13 17:14:23
266,AGRISUR SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
267,SAN FRANCISCO L,2025-08-13 17:14:23,2025-08-13 17:14:23
268,VITALFRUT CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
269,WALNATIVE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
270,COM.AGR.EL ALBA,2025-08-13 17:14:23,2025-08-13 17:14:23
271,EXP.ENTRE RIOS,2025-08-13 17:14:23,2025-08-13 17:14:23
272,EXP.DEL SUR,2025-08-13 17:14:23,2025-08-13 17:14:23
273,EXP.AGROMAR S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
274,PROVIDENCE EXPORTS,2025-08-13 17:14:23,2025-08-13 17:14:23
275,GRANEROS LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
276,SFC COM.CHILE S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
277,ANDESBHUMI FARMERS,2025-08-13 17:14:23,2025-08-13 17:14:23
278,CORE - EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
279,FRESH LAND,2025-08-13 17:14:23,2025-08-13 17:14:23
280,EVERFRESH S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
281,PRODALMEN LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
282,FRUT.DEL VALLE,2025-08-13 17:14:23,2025-08-13 17:14:23
283,CMX CHILE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
284,ECOFRESH SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
285,BC EXPORT LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
286,BABER EXPORT SP,2025-08-13 17:14:23,2025-08-13 17:14:23
287,EXP.LOS OLMOS SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
288,NOVARE AGRICOLA,2025-08-13 17:14:23,2025-08-13 17:14:23
289,CARSOL FRUIT EX,2025-08-13 17:14:23,2025-08-13 17:14:23
290,SUNAGRO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
291,CEXPORT TECH LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
292,SAN ESTEBAN LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
293,CARFRUSA,2025-08-13 17:14:23,2025-08-13 17:14:23
294,MARTINEZ FRUIT,2025-08-13 17:14:23,2025-08-13 17:14:23
295,DWELLIGHT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
296,NATURE SOUTH EX,2025-08-13 17:14:23,2025-08-13 17:14:23
297,AGROINV.PEREZ V,2025-08-13 17:14:23,2025-08-13 17:14:23
298,STAR FRUIT LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
299,PRIMLAND CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
300,HENGLANDER SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
301,SANTA MARIA S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
302,FINE DRIED FRUITS CH,2025-08-13 17:14:23,2025-08-13 17:14:23
303,EXP.LA TAPERA L,2025-08-13 17:14:23,2025-08-13 17:14:23
304,RINCONADA TRADI,2025-08-13 17:14:23,2025-08-13 17:14:23
305,NUECES DEL MUND,2025-08-13 17:14:23,2025-08-13 17:14:23
306,MACE S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
307,FRUCOR LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
308,ENTRE RIOS SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
309,HAC.CHOROMBO,2025-08-13 17:14:23,2025-08-13 17:14:23
310,CAMPANARIO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
311,ACONCAGUA S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
312,EXP.ALMAR SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
